transaction_id,merchant_id,merchant_name,merchant_category,transaction_date,amount,currency,payment_method,vendor_name,budget_category,is_flagged,flag_reason,region,quarter,budget_allocated
txn-00001,m-trv-001,Meridian Travel Group,travel,2024-05-03,1148.7,GBP,virtual_card,"Rodriguez, Figueroa and Sanchez",Marketing,False,,EU-North,Q2,44051.42
txn-00002,m-saas-04,Obsidian Security Suite,SaaS,2025-02-04,525.59,USD,check,Doyle Ltd,Payroll-adjacent,False,,EU-North,Q1,93851.27
txn-00003,m-log-002,Pacific Parcel Network,logistics,2023-10-07,1559.65,USD,virtual_card,"Mcclain, Miller and Henderson",Travel,False,,APAC,Q4,25333.88
txn-00004,m-trv-001,Meridian Travel Group,travel,2025-01-11,3268.06,USD,ach,Davis and Sons,Operations,False,,EU-Central,Q1,81896.9
txn-00005,m-ret-001,Northwind Retail Co,retail,2024-02-08,472.98,USD,card,"Guzman, Hoffman and Baldwin",Facilities,False,,EU-North,Q1,38146.27
txn-00006,m-saas-02,LedgerFlow Analytics,SaaS,2024-04-17,514.12,USD,virtual_card,"Gardner, Robinson and Lawrence",Operations,False,,EU-North,Q2,90675.79
txn-00007,m-food-02,Urban Grain Bistro,food,2023-12-12,4345.5,USD,virtual_card,Blake and Sons,Travel,False,,US-West,Q4,119590.13
txn-00008,m-util-02,Clearwater Energy Co,utilities,2023-01-20,1423.39,USD,wire,"Henderson, Ramirez and Lewis",Payroll-adjacent,False,,US-West,Q1,90574.2
txn-00009,m-ret-002,Atlas Outfitters,retail,2025-02-11,365.11,EUR,card,Garcia-James,Marketing,False,,US-East,Q1,115507.37
txn-00010,m-saas-02,LedgerFlow Analytics,SaaS,2024-04-29,1208.11,USD,ach,Abbott-Munoz,Payroll-adjacent,False,,US-Central,Q2,82089.7
txn-00011,m-food-03,Summit Provisions,food,2023-06-21,399.51,USD,card,Blair PLC,Facilities,False,,US-East,Q2,36377.72
txn-00012,m-food-01,Copperline Catering,food,2023-04-21,398.5,USD,wire,Dudley Group,Facilities,False,,EU-North,Q2,85897.32
txn-00013,m-trv-001,Meridian Travel Group,travel,2025-01-02,798.53,USD,ach,Arnold Ltd,Operations,False,,US-Central,Q1,81896.9
txn-00014,m-food-04,Riverside Commissary,food,2025-04-04,81.08,USD,check,"Mcclure, Ward and Lee",Marketing,False,,US-Central,Q2,69736.48
txn-00015,m-saas-04,Obsidian Security Suite,SaaS,2024-03-14,91.76,USD,check,Williams and Sons,Payroll-adjacent,False,,US-West,Q1,93851.27
txn-00016,m-trv-002,Silverwing Airlines Desk,travel,2025-04-22,358.34,USD,wire,Galloway-Wyatt,Travel,False,,EU-North,Q2,92339.27
txn-00017,m-saas-02,LedgerFlow Analytics,SaaS,2024-03-21,200.84,USD,wire,James Group,Operations,False,,EU-Central,Q1,16205.51
txn-00018,m-util-02,Clearwater Energy Co,utilities,2024-04-21,939.8,USD,check,"Flowers, Martin and Kelly",Travel,False,,US-East,Q2,85415.99
txn-00019,m-ret-003,Harbor Street Market,retail,2023-10-13,281.73,USD,virtual_card,"Adams, Zuniga and Wong",Travel,False,,APAC,Q4,86884.5
txn-00020,m-trv-001,Meridian Travel Group,travel,2023-12-11,161.78,USD,wire,"Reid, Ferguson and Sanchez",Marketing,False,,US-East,Q4,95967.52
txn-00021,m-food-03,Summit Provisions,food,2025-03-27,3068.16,USD,check,Gray-Mayo,IT,False,,US-Central,Q1,84655.82
txn-00022,m-saas-04,Obsidian Security Suite,SaaS,2023-01-11,477.36,EUR,ach,"Watts, Robinson and Nguyen",Facilities,False,,EU-North,Q1,66909.6
txn-00023,m-saas-04,Obsidian Security Suite,SaaS,2025-02-15,659.12,USD,virtual_card,Perez Inc,Operations,False,,US-West,Q1,85643.55
txn-00024,m-ret-003,Harbor Street Market,retail,2023-10-29,159.58,USD,ach,Morales-Jones,Operations,False,,EU-Central,Q4,78958.76
txn-00025,m-food-03,Summit Provisions,food,2024-04-29,365.47,USD,virtual_card,"Walter, Edwards and Rios",Facilities,False,,EU-Central,Q2,36377.72
txn-00026,m-food-02,Urban Grain Bistro,food,2023-12-27,864.18,USD,wire,Wilkerson-Day,Payroll-adjacent,False,,US-West,Q4,31563.42
txn-00027,m-log-001,Continental Freight,logistics,2023-11-20,215.65,USD,ach,Baker and Sons,Marketing,False,,APAC,Q4,91642.76
txn-00028,m-util-02,Clearwater Energy Co,utilities,2023-10-11,1156.36,USD,check,"Hoffman, Baker and Richards",Payroll-adjacent,False,,US-West,Q4,57881.26
txn-00029,m-log-001,Continental Freight,logistics,2023-10-31,395.07,USD,wire,"Ross, Robinson and Bright",Operations,True,high-risk-vendor,US-East,Q4,83237.2
txn-00030,m-log-003,Ironhorse Trucking,logistics,2023-02-16,443.97,USD,ach,"Snyder, Campos and Callahan",Marketing,False,,EU-North,Q1,41229.68
txn-00031,m-saas-01,Vertex Cloud Systems,SaaS,2023-01-13,315.68,USD,virtual_card,Burton Ltd,Facilities,False,,US-East,Q1,24545.49
txn-00032,m-ret-002,Atlas Outfitters,retail,2023-09-16,5510.81,USD,card,Carlson-Cruz,Travel,False,,US-West,Q3,105479.22
txn-00033,m-log-004,BlueAnchor Maritime,logistics,2024-10-06,753.64,USD,ach,"Ferrell, Rice and Maddox",Payroll-adjacent,False,,US-Central,Q4,81954.45
txn-00034,m-ret-003,Harbor Street Market,retail,2023-09-12,224.41,USD,virtual_card,Frazier Inc,Marketing,False,,EU-Central,Q3,53869.0
txn-00035,m-log-002,Pacific Parcel Network,logistics,2025-03-05,1512.35,USD,virtual_card,"Dyer, Potter and Mack",Facilities,False,,EU-Central,Q1,57275.23
txn-00036,m-trv-002,Silverwing Airlines Desk,travel,2023-11-09,199.7,USD,check,Rodriguez-Graham,Facilities,False,,US-West,Q4,43014.6
txn-00037,m-log-001,Continental Freight,logistics,2024-10-02,962.48,USD,card,Smith-Bowen,Operations,False,,US-East,Q4,83237.2
txn-00038,m-saas-04,Obsidian Security Suite,SaaS,2023-03-18,70.88,USD,virtual_card,"Baker, Mason and White",Operations,False,,EU-North,Q1,85643.55
txn-00039,m-food-01,Copperline Catering,food,2023-02-03,141.97,USD,wire,Harrell LLC,Operations,False,,EU-North,Q1,116714.48
txn-00040,m-ret-003,Harbor Street Market,retail,2024-12-04,949.85,EUR,virtual_card,"Romero, Gonzalez and Brooks",Operations,False,,US-East,Q4,78958.76
txn-00041,m-saas-02,LedgerFlow Analytics,SaaS,2023-09-30,1618.53,USD,ach,Ryan PLC,Operations,False,,EU-Central,Q3,86579.59
txn-00042,m-log-004,BlueAnchor Maritime,logistics,2023-10-23,923.59,USD,wire,George Group,Travel,False,,US-Central,Q4,68001.71
txn-00043,m-ret-004,Sterling Home Goods,retail,2024-07-06,112536.44,USD,check,Rodriguez LLC,Travel,True,over-budget,EU-Central,Q3,83744.09
txn-00044,m-log-003,Ironhorse Trucking,logistics,2023-01-27,439.4,USD,check,Allen-Allen,Marketing,False,,US-West,Q1,41229.68
txn-00045,m-log-003,Ironhorse Trucking,logistics,2024-08-13,141.26,USD,ach,"Arroyo, Miller and Tucker",Marketing,False,,APAC,Q3,61528.73
txn-00046,m-util-01,Gridline Utilities,utilities,2023-10-12,346.52,GBP,virtual_card,Spence PLC,Operations,False,,EU-North,Q4,35278.63
txn-00047,m-food-03,Summit Provisions,food,2024-02-23,368.68,USD,card,Anderson Group,IT,False,,US-Central,Q1,84655.82
txn-00048,m-trv-002,Silverwing Airlines Desk,travel,2024-12-11,2446.95,USD,virtual_card,"Martin, Rose and Obrien",Travel,False,,EU-Central,Q4,112735.67
txn-00049,m-ret-002,Atlas Outfitters,retail,2024-04-10,970.66,USD,wire,Hickman Ltd,Marketing,False,,EU-North,Q2,50342.43
txn-00050,m-ret-004,Sterling Home Goods,retail,2025-04-24,95.65,USD,check,"Harris, Collins and Carney",Marketing,False,,US-West,Q2,46043.8
txn-00051,m-log-001,Continental Freight,logistics,2024-06-14,950.03,USD,virtual_card,"Brooks, Lam and Hayes",IT,False,,US-West,Q2,69345.46
txn-00052,m-log-001,Continental Freight,logistics,2023-10-01,500.78,USD,wire,Walker LLC,Facilities,False,,APAC,Q4,110069.1
txn-00053,m-util-02,Clearwater Energy Co,utilities,2023-05-05,315.89,EUR,ach,Chapman and Sons,Marketing,False,,US-West,Q2,47936.12
txn-00054,m-saas-04,Obsidian Security Suite,SaaS,2024-02-22,1199.26,USD,card,"Robinson, Jones and Welch",Marketing,False,,US-West,Q1,81458.79
txn-00055,m-saas-02,LedgerFlow Analytics,SaaS,2024-05-25,2067.51,USD,wire,Jones Inc,Payroll-adjacent,False,,EU-North,Q2,82089.7
txn-00056,m-util-02,Clearwater Energy Co,utilities,2023-09-07,2000.93,USD,virtual_card,Jones-Young,Travel,False,,EU-Central,Q3,53243.25
txn-00057,m-ret-004,Sterling Home Goods,retail,2025-02-03,243.1,USD,wire,"Washington, Ryan and Cummings",Operations,False,,EU-North,Q1,113738.19
txn-00058,m-food-02,Urban Grain Bistro,food,2025-03-17,435.5,USD,card,"Johnston, Sanchez and Kennedy",Facilities,False,,US-Central,Q1,22692.38
txn-00059,m-log-004,BlueAnchor Maritime,logistics,2024-08-16,1034.17,USD,ach,Lee-Davis,Payroll-adjacent,False,,EU-North,Q3,40960.17
txn-00060,m-food-03,Summit Provisions,food,2023-12-07,2236.93,USD,virtual_card,Gomez-Jenkins,Facilities,False,,US-Central,Q4,42718.31
txn-00061,m-log-001,Continental Freight,logistics,2024-12-15,451.54,USD,ach,"Brown, Valdez and Lucas",Operations,False,,EU-North,Q4,83237.2
txn-00062,m-ret-002,Atlas Outfitters,retail,2023-11-22,623.62,USD,virtual_card,Powell LLC,Payroll-adjacent,False,,APAC,Q4,44187.23
txn-00063,m-saas-02,LedgerFlow Analytics,SaaS,2024-05-22,196.97,USD,check,Wright and Sons,Marketing,False,,US-West,Q2,70557.01
txn-00064,m-util-01,Gridline Utilities,utilities,2023-04-13,178.43,EUR,ach,"West, Henderson and Ramirez",Facilities,False,,APAC,Q2,27110.88
txn-00065,m-saas-02,LedgerFlow Analytics,SaaS,2023-03-18,1495.77,USD,wire,Baxter Inc,Travel,False,,APAC,Q1,62640.99
txn-00066,m-trv-001,Meridian Travel Group,travel,2024-10-27,3400.32,USD,check,Morton-Chase,Marketing,False,,US-Central,Q4,95967.52
txn-00067,m-util-02,Clearwater Energy Co,utilities,2024-07-08,663.65,USD,ach,Williams PLC,Marketing,False,,US-Central,Q3,78651.93
